what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1442687245151
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1442687245151
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1442687245166
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1442687245166
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1442687245166
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1442687245166
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1442687245166
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1442687245166
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1442687245166
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1442687245166
